ID,Age,Gender,Trial
4321,45,Male,1,0.5076088000005257
4321,45,Male,2,1.0227615000003425
4321,45,Male,3,1.5405369999989489
4321,45,Male,4,2.056714700000157
4321,45,Male,5,2.573220799999035
4321,45,Male,6,3.0896644000004017
4321,45,Male,7,19.531727699999465
4321,45,Male,8,20.0501820999998
4321,45,Male,9,20.56487290000041
4321,45,Male,10,21.081081000000268
4321,45,Male,11,21.597930100000667
4321,45,Male,12,22.114067200000136
4321,45,Male,13,29.794005100000504
4321,45,Male,14,30.310367599999154
4321,45,Male,15,30.82604209999954
4321,45,Male,16,31.34319730000061
4321,45,Male,17,31.85959439999897
4321,45,Male,18,32.37619110000014
